token,target
4,0.03468192
5,0.028446563
6,0.04932928
7,0.028169753
8,0.07123336
9,0.04100033
10,0.05669535
11,0.039947417
12,0.03196674
13,0.04168775
15,0.051891733
16,0.04771634
17,0.06812396
18,0.042463258
19,0.042575207
20,0.04814313
21,0.11276468
22,0.04936371
23,0.058645356
